順位,キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
44,化学療法とは,26800,340,1.653,-1.514,26,74,2,10,9,19,25,19,16
45,bun 高値,31400,340,1.555,-1.177,30,70,1,12,8,13,20,21,25
46,ケトアシドーシスとは,30000,340,1.545,-9.09,30,70,1,17,13,20,22,16,11
47,左の背中が痛い,31500,340,1.487,-1.911,30,70,1,5,11,23,29,20,11
48,ガスコン,26100,330,1.696,-7.958,33,67,1,6,9,17,23,21,23
49,エブランチルカプセル,28400,330,1.596,-1.481,27,73,0,12,14,21,23,17,13
50,扁平上皮癌,31600,330,1.498,-7.89,30,70,1,9,9,19,24,20,18
51,肺が痛い,31400,330,1.475,-12.27,37,63,8,15,16,24,23,8,6
52,胃の調子が悪い,19900,320,1.876,-2.415,27,73,2,12,18,26,21,13,8
53,血小板 基準値,25400,310,1.646,-17.101,25,75,1,20,13,18,19,14,15
54,原発性アルドステロン症,27600,310,1.537,-3.808,33,67,1,14,12,20,25,17,11
55,ロナセンテープ,28300,310,1.485,-3.152,28,72,1,12,16,25,25,15,6
56,食べると下痢,23600,300,1.639,-1.607,17,83,1,7,16,27,26,15,8
57,副交感神経とは,28300,300,1.49,-8.516,37,63,5,11,14,23,22,13,12
58,エリスロポエチン,20500,290,1.793,-5.185,33,67,6,28,12,17,17,11,9
59,気管挿管,23700,290,1.623,-6.992,32,68,2,20,18,21,20,13,6
60,アトロピン,26300,290,1.534,-5.739,31,69,2,32,18,21,14,8,5
61,お腹が張る 原因 男性,22100,280,1.617,-3.721,81,19,1,8,13,22,25,15,16
62,バレー徴候,16400,270,1.927,-4.062,38,62,2,41,20,18,12,4,3
63,みぞおち しこり,17100,270,1.815,-2.103,55,45,1,4,18,30,28,11,8
64,ipmn 膵臓,19900,270,1.743,-10.565,36,64,0,10,13,19,22,20,16
65,胆石とは,20700,270,1.683,-1.878,38,62,2,9,13,17,22,17,20
66,精巣上体炎,21800,270,1.629,-1.278,66,34,3,14,22,23,18,11,9
67,mmse 評価,23000,270,1.604,-1.502,32,68,1,20,12,19,22,16,10
68,胃痛 吐き気,14500,260,1.984,-1.095,15,85,2,17,26,26,18,7,4
69,バビンスキー反射,21000,260,1.661,-5.861,37,63,4,34,21,16,13,8,4
70,化膿性脊椎炎,21300,260,1.642,-1.612,38,62,1,14,15,18,21,16,15
71,縦隔腫瘍,23200,260,1.567,-1.428,31,69,1,10,11,18,25,19,16
72,胃の不快が続く,9600,250,2.376,-3.064,28,72,2,10,20,26,18,14,10
73,アプガースコア,21200,250,1.58,-5.849,24,76,2,30,29,19,12,6,2
74,ホルネル症候群,13000,240,2.042,-3.185,35,65,1,32,17,17,18,10,5
75,胃が痛い 原因,15100,240,1.902,-13.565,26,74,11,21,15,19,17,10,7
76,大腸がん 症状 おなら,20200,240,1.605,-1.827,47,53,1,2,5,16,26,25,25
77,cpr 医療,21300,240,1.547,-15.467,27,73,1,22,17,22,21,9,8
78,スタンダードプリコーション,22800,240,1.481,-9.512,25,75,8,21,14,21,21,11,4
79,尿毒症,17900,230,1.703,-3.28,35,65,3,26,15,17,16,11,12
80,胃痛 ツボ 即効性,17800,230,1.655,-5.049,19,81,1,4,13,27,29,18,8
81,血ガス,19100,230,1.609,-2.204,21,79,1,27,22,26,16,6,2
82,チアトンカプセル10mg,17300,220,1.69,-1.541,29,71,1,6,11,21,25,21,15
83,副甲状腺機能亢進症,17300,220,1.677,-12.968,32,68,1,12,10,17,22,21,17
84,dvt 医療略語,17500,220,1.65,-5.484,23,77,1,20,15,24,23,11,6
85,急性腎盂腎炎,18800,220,1.586,-6.073,26,74,2,13,17,22,24,13,9
86,症候性てんかん,18900,220,1.551,-8.256,31,69,1,17,17,22,22,13,8
87,エリクソン 発達段階,19800,220,1.538,-17.722,22,78,9,36,11,17,16,8,3
88,感染性心内膜炎,20900,220,1.476,-8.01,33,67,1,16,17,21,20,14,11
89,頭蓋内圧亢進症状,10900,210,2.081,-2.787,23,77,3,41,17,19,12,5,3
90,胃の痛みを和らげる方法,13200,210,1.891,-1.02,24,76,2,6,14,23,28,17,10
91,逆流性食道炎 喉の痛み,13600,210,1.846,-2.91,33,67,2,7,14,23,23,17,14
92,腎性貧血,14800,210,1.753,-1.219,30,70,1,17,14,21,22,15,10
93,房室ブロック,18200,210,1.579,-2.02,33,67,2,21,15,19,19,12,12
94,拒食症 症状,18200,210,1.577,-2.484,24,76,12,18,17,15,17,11,10
95,心臓カテーテル検査,19600,210,1.547,-2.9,32,68,1,11,8,14,22,20,24
96,陳旧性,19000,210,1.52,-8.119,39,61,0,10,12,20,24,18,16
97,肺結核 症状,18900,210,1.505,-3.132,26,74,2,8,16,24,20,14,16
98,ツムラ100 大建中湯 効果,22200,210,1.502,-7.956,27,73,1,2,2,7,20,27,41
99,視床下部,20500,210,1.497,-8.006,36,64,11,16,12,18,18,13,12
100,血液検査でわかること,20500,210,1.493,-6.07,29,71,4,10,10,19,22,18,17
101,食べたら胃が痛い,8400,200,2.244,-1.337,15,85,1,9,18,28,24,12,8
102,ビリルビン尿,11500,200,1.982,-3.362,25,75,1,19,18,23,20,11,8
103,egd 医療,12000,200,1.96,-6.974,28,72,0,31,18,21,17,8,5
104,ダグラス窩,13200,200,1.836,-2.124,25,75,4,31,19,21,14,7,4
105,糖尿病性ケトアシドーシス,13700,200,1.778,-1.316,36,64,1,21,17,22,20,12,7
106,右腹が痛い原因,14000,200,1.76,-1.634,29,71,3,7,14,26,28,13,9
107,コルサコフ症候群,15100,200,1.735,-6.062,34,66,2,22,13,18,21,15,9
108,肝細胞癌,15200,200,1.729,-14.198,34,66,1,10,10,18,22,19,20
109,gi療法,15100,200,1.719,-5.874,26,74,0,33,26,23,13,4,1
110,陰部洗浄,16300,200,1.654,-18.711,28,72,7,22,12,18,21,13,7
111,アドナ錠30mg,18300,200,1.523,-2.039,32,68,1,8,11,19,24,17,20
112,腎生検,17800,200,1.523,-2.14,31,69,2,15,15,23,21,14,10
113,眼精疲労 症状,18900,200,1.494,-18.774,32,68,5,12,15,19,22,17,10
114,胃液が上がってくる,18900,200,1.492,-5.02,33,67,3,12,14,21,22,14,14
115,クスマウル呼吸とは,9200,190,2.161,-2.104,33,67,4,43,16,17,12,5,3
116,胸腔穿刺,10300,190,2.077,-1.662,28,72,2,33,17,18,15,9,6
117,胃がん 原因,10700,190,2.027,-2.128,36,64,5,17,17,20,20,10,11
118,尿管ステント,16400,190,1.589,-9.037,34,66,0,10,9,16,25,22,18
119,バーセルインデックス,16300,190,1.574,-2.916,39,61,2,37,20,20,13,5,3
120,アスパラカリウム,17300,190,1.506,-1.238,29,71,1,17,17,24,18,12,11
121,口が苦い 原因,18800,190,1.497,-1.331,21,79,1,3,6,14,24,24,28
122,巨赤芽球性貧血,10200,180,2.022,-4.177,28,72,6,29,13,17,17,11,7
123,胃が気持ち悪くなる原因,12500,180,1.774,-16.085,19,81,6,18,20,25,18,8,5
124,喀血,13600,180,1.7,-1.484,38,62,7,22,18,21,17,8,7
125,おへその下が痛い,13800,180,1.669,-2.195,16,84,5,11,17,27,22,11,7
126,皮下注射 部位,15400,180,1.548,-6.079,15,85,1,17,16,25,23,12,6
127,血尿 スケール,17200,180,1.496,-8.729,22,78,0,27,22,21,15,8,7
128,ラグノス経口ゼリー,16700,180,1.474,-4.954,29,71,0,10,15,23,24,17,11
129,カテコールアミンとは,9000,170,2.117,-4.99,26,74,6,41,9,13,15,9,7
130,呼吸性アシドーシス,8700,170,2.116,-1.459,28,72,5,43,17,17,11,5,2
131,アダムスストークス症候群,9300,170,2.031,-15.122,40,60,1,34,18,17,14,9,7
132,反回神経麻痺,11800,170,1.823,-2.905,30,70,1,22,15,19,19,14,10
133,頸静脈怒張,12100,170,1.792,-3.83,34,66,3,30,20,21,15,7,4
134,左下腹の痛み原因 女性,13200,170,1.668,-1.147,7,93,2,8,14,26,30,14,6
135,高血糖,14100,170,1.608,-8.375,34,66,2,14,14,20,22,15,13
136,doac 医療,14600,170,1.598,-7.516,30,70,1,23,16,23,20,10,7
137,セフトリアキソンナトリウム点滴,15100,170,1.517,-16.553,30,70,1,15,13,21,22,17,11
138,フランドルテープ,15900,170,1.473,-2.686,30,70,0,18,16,20,20,14,12
139,心原性ショック,7700,160,2.183,-4.528,37,63,4,36,17,18,14,7,4
140,胃がんの初期症状って,9400,160,2.037,-3.064,39,61,1,2,5,11,24,25,32
141,急性冠症候群,11700,160,1.746,-3.635,42,58,2,22,16,21,19,13,7
142,bun 基準値,12700,160,1.714,-10.971,13,87,3,40,11,13,12,9,12
143,aaa 医療,12400,160,1.678,-8.422,29,71,1,35,22,18,14,6,4
144,食べ物がつかえる感じ,13100,160,1.659,-18.067,28,72,1,3,5,15,27,25,24
145,キャッスルマン病,13300,160,1.627,-15.903,40,60,1,11,17,22,23,16,10
146,ツルゴール反応,13000,160,1.611,-1.523,29,71,1,23,21,25,20,8,2
147,悪寒戦慄,13800,160,1.582,-6.239,26,74,4,12,23,27,19,9,6
148,柴胡桂枝乾姜湯,13900,160,1.575,-8.192,19,81,1,5,9,25,32,16,12
149,剣状突起,13300,160,1.565,-2.165,43,57,5,18,19,22,19,11,6
150,ストマ パウチ交換,14000,160,1.564,-3.021,16,84,0,9,11,21,29,19,11
151,肋間神経痛 対処法,14000,160,1.564,-2.086,28,72,4,7,11,21,28,17,12
152,フィブラストスプレー,13700,160,1.541,-18.346,26,74,1,13,19,26,22,12,7
153,低カリウム血症 原因,14400,160,1.496,-4.603,31,69,1,10,11,20,27,20,11
154,検便でわかること,14800,160,1.492,-4.854,34,66,3,6,16,26,26,14,9
155,hgb 血液検査,15600,160,1.49,-1.922,29,71,1,8,10,15,19,19,28
156,うっ血乳頭,5900,150,2.356,-13.208,29,71,2,47,16,17,11,5,2
157,閉塞性換気障害,10500,150,1.81,-1.218,32,68,4,34,13,13,15,12,9
158,低酸素血症,10700,150,1.778,-3.805,31,69,3,29,16,19,17,10,6
159,リザーバーマスク,10700,150,1.777,-15.586,21,79,1,31,19,21,18,8,2
160,tpn 医療用語,10800,150,1.744,-3.979,24,76,0,27,16,23,19,9,6
161,解離性大動脈瘤,11500,150,1.713,-1.784,34,66,1,10,9,16,25,22,17
162,下腹部痛 女性,12000,150,1.604,-4.787,7,93,2,18,27,29,16,5,3
163,お腹の張り,12800,150,1.561,-2.347,21,79,2,12,22,26,21,9,8
164,腎臓の位置,13200,150,1.558,-7.327,41,59,1,4,7,14,24,27,23
165,サービス提供責任者,12900,150,1.545,-6.694,28,72,0,5,16,29,31,14,5
166,nppv 人工呼吸器,13300,150,1.517,-2.189,26,74,1,21,16,24,23,10,5
167,腹痛 下痢,13900,150,1.494,-3.699,22,78,4,18,28,25,15,6,4
168,ブスコパン錠,14100,150,1.489,-2.794,32,68,1,11,13,19,21,20,15
169,crt 医療,14500,150,1.487,-4.488,37,63,0,27,19,20,16,9,9
170,ウィルヒョウ転移,4600,140,2.536,-3.94,28,72,6,37,13,17,15,9,3
171,ショックの5徴候,6200,140,2.268,-3.581,21,79,4,58,15,13,7,2,1
172,胃の調子が悪い 症状 チェック,6300,140,2.241,-3.01,23,77,2,10,15,24,22,15,12
173,下血がみられる疾患,7500,140,2.102,-4.96,28,72,1,5,4,15,27,28,20
174,腸蠕動音,8100,140,1.995,-12.243,17,83,6,40,16,17,14,5,2
175,太田漢方胃腸Ⅱ,8200,140,1.98,-15.679,35,65,2,11,13,20,22,17,15
176,胆石 何科を受診,7900,140,1.977,-2.324,30,70,0,3,10,23,30,20,14
177,糖尿病ケトアシドーシス,8200,140,1.951,-1.432,27,73,2,30,15,18,20,10,5
178,右脇腹 筋肉痛のような痛み,8300,140,1.932,-1.963,41,59,0,3,8,19,30,24,16
179,ナトリウム 基準値,10100,140,1.807,-9.308,21,79,2,33,11,16,15,11,12
180,ループス腎炎,9800,140,1.788,-2.566,26,74,2,24,14,18,22,12,8
181,太田胃散 効果,9900,140,1.769,-1.057,35,65,3,16,17,17,16,13,18
182,リンパ節郭清,10800,140,1.712,-15.483,26,74,1,15,10,20,23,18,13
183,腸が鳴る,11200,140,1.663,-8.592,22,78,2,5,8,21,31,21,12
184,お腹 左側 痛い,10900,140,1.634,-3.514,25,75,5,16,28,26,16,6,3
185,網膜症とは,12100,140,1.59,-1.319,38,62,1,7,9,17,24,21,21
186,リスミー,12800,140,1.553,-10.899,34,66,1,11,15,21,22,15,15
187,メバロチン,13000,140,1.521,-7.852,33,67,0,10,10,15,22,22,21
188,小脳出血,12800,140,1.515,-7.138,31,69,1,14,12,17,22,17,17
189,グラルギン,12400,140,1.503,-13.766,31,69,0,20,17,25,21,12,5
190,徐脈 症状,13400,140,1.495,-10.086,25,75,2,13,10,18,21,16,20
191,レジオネラ肺炎,13500,140,1.492,-1.836,36,64,1,13,16,21,22,16,11
192,hds-r,13100,140,1.486,-13.842,37,63,1,25,16,19,18,12,9
193,体重減少率 計算式,5800,130,2.272,-16.823,11,89,5,57,13,13,8,3,1
194,ベンの色が黒い,6600,130,2.165,-1.291,26,74,1,6,8,14,21,20,30
195,腸が腫れる病気,6200,130,2.145,-9.459,19,81,1,3,8,21,32,24,11
196,ガスター10 逆流性食道炎,6700,130,2.11,-1.261,40,60,0,4,9,16,25,22,24
197,冠状動脈,6900,130,2.109,-13.769,35,65,12,33,8,12,14,11,10
198,へその周りが痛い,7300,130,1.953,-1.139,25,75,2,5,12,25,28,16,12
199,hco3-,8100,130,1.948,-4.862,32,68,21,39,12,12,9,4,3
200,アルコール離脱症状,8200,130,1.894,-4.803,38,62,1,28,20,22,17,8,4
201,ガストール,8500,130,1.877,-1.45,41,59,1,8,14,20,25,17,15
202,お腹の左側が痛い,8800,130,1.849,-1.179,33,67,8,18,17,17,17,12,11
203,adl 看護,9100,130,1.75,-1.098,29,71,5,18,9,16,25,17,10
204,大腸がん 血便,9000,130,1.74,-5.619,32,68,3,12,22,27,22,6,8
205,呼吸不全,9200,130,1.738,-18.469,35,65,2,17,15,20,22,14,10
206,つくしam配合散,10000,130,1.726,-4.027,31,69,0,6,10,16,21,21,26
207,腸骨 痛み,10000,130,1.642,-5.808,26,74,3,5,12,25,29,16,10
208,chf 医療,11000,130,1.626,-13.046,26,74,0,30,22,23,17,6,2
209,tha 医療,10800,130,1.623,-2.838,26,74,1,34,21,21,14,4,5
210,大腸癌 転移しやすい臓器,10900,130,1.609,-4.816,27,73,1,4,8,21,29,23,14
211,sah 医療,11200,130,1.593,-12.047,23,77,1,31,21,21,18,6,2
212,エリキュース錠2.5mg,11400,130,1.588,-2.145,34,66,0,8,7,14,22,21,28
213,睫毛反射,11500,130,1.582,-13.965,27,73,1,25,20,23,18,8,5
214,尿膜管遺残,11000,130,1.575,-3.665,36,64,3,15,23,23,19,11,6
215,上質期外収縮とは,11800,130,1.568,-16.327,26,74,1,9,9,18,23,22,18
216,消化酵素,12000,130,1.567,-2.062,32,68,18,12,9,21,17,12,11
217,ジゴキシン,11600,130,1.548,-1.448,31,69,1,32,14,17,16,10,10
218,下腿三頭筋,11400,130,1.533,-1.896,47,53,9,26,15,18,15,9,8
219,精密検査とは,11600,130,1.519,-1.135,35,65,3,12,14,21,24,15,11
220,ファモチジンod錠10mg,12000,130,1.515,-1.563,31,69,1,5,9,17,22,21,25
221,急性胃腸炎 症状,12300,130,1.514,-3.603,28,72,4,15,18,19,21,14,9
222,小細胞肺癌,12100,130,1.507,-2.005,37,63,1,7,8,19,23,19,23
223,サラゾスルファピリジン,11900,130,1.507,-1.946,32,68,0,20,15,20,21,14,10
224,溶血とは,12300,130,1.483,-3.971,28,72,5,19,11,18,20,14,13
225,泥状便,12600,130,1.474,-5.41,17,83,3,14,23,22,21,11,6
226,大腸がん手術,5400,120,2.235,-2.42,33,67,1,2,3,12,24,26,32
227,腸の動きが悪い 原因,6400,120,2.004,-2.472,20,80,1,5,13,25,26,17,13
228,錐体路,7500,120,1.925,-3.259,43,57,7,46,15,13,11,5,3
229,口すぼめ呼吸,7200,120,1.906,-5.736,31,69,2,37,17,18,14,6,6
230,ffp 輸血,7900,120,1.852,-1.592,26,74,0,42,23,18,11,4,2
231,左脇腹が痛い,8200,120,1.831,-2.458,33,67,2,6,10,20,24,19,19
232,下肢閉塞性動脈硬化症,9400,120,1.747,-2.406,32,68,1,9,10,16,21,20,23
233,キャベジン 効果,8800,120,1.736,-8.355,36,64,2,13,13,17,20,15,20
234,多臓器不全 症状,8900,120,1.733,-5.177,29,71,1,4,7,16,26,23,23
235,hct 血液検査,10400,120,1.64,-10.799,32,68,1,12,9,13,19,20,26
236,adl低下とは,10400,120,1.637,-6.496,27,73,1,5,5,12,27,27,23
237,ムカムカする 原因 女性,10000,120,1.637,-6.705,7,93,2,17,16,17,26,12,10
238,腸腰筋膿瘍,9500,120,1.635,-2.298,36,64,1,14,13,21,23,17,11
239,クラウンデンス症候群,10400,120,1.584,-3.21,42,58,1,16,19,23,19,13,9
240,排便回数が多い原因,10800,120,1.583,-6.784,34,66,1,5,11,18,23,21,21
241,リウマチ熱,10000,120,1.57,-9.26,29,71,2,16,26,24,15,11,6
242,カルチコール,10500,120,1.561,-15.031,30,70,0,36,23,21,12,5,3
243,糸球体腎炎,10500,120,1.555,-8.103,26,74,2,12,15,24,23,14,10
244,エダラボン,10400,120,1.555,-5.872,36,64,1,36,16,18,15,8,6
245,切れ痔 症状 チェック,10500,120,1.541,-5.061,25,75,5,22,20,20,17,9,7
246,胃痛 食事,10800,120,1.539,-3.444,19,81,0,6,18,28,26,15,7
247,甲状腺の病気 女性 症状,11000,120,1.518,-1.353,14,86,1,3,7,17,30,23,19
248,陳旧性心筋梗塞,11300,120,1.509,-12.622,38,62,1,17,10,16,20,19,17
249,胃がムカムカする 吐き気,11600,120,1.506,-1.98,27,73,5,24,19,18,18,9,7
250,血圧測定,11700,120,1.476,-1.185,44,56,3,10,8,17,22,16,24
251,胃を押すと痛い,3500,110,2.556,-1.244,23,77,3,10,17,26,23,13,8
252,ヒュージョーンズ分類,3900,110,2.441,-5.122,28,72,4,44,14,18,11,6,3
253,フォルクマン拘縮,4900,110,2.218,-7.303,35,65,4,54,13,15,10,3,1
254,アルドステロン 作用,5300,110,2.214,-13.336,33,67,10,53,9,8,8,6,6
255,ラセーグ徴候,5300,110,2.2,-8.862,58,42,1,43,23,15,10,5,3
256,胃のムカムカが続く,5100,110,2.171,-3.819,27,73,1,11,18,24,22,14,10
257,徒手筋力テスト,5400,110,2.134,-17.563,35,65,6,37,14,16,14,8,5
258,項部硬直とは,5900,110,2.095,-11.29,43,57,2,37,23,20,11,5,2
259,腹部大動脈瘤 初期症状,6300,110,2.021,-1.799,24,76,1,9,16,19,22,17,16
260,gerd,6100,110,1.993,-6.988,33,67,1,21,19,23,19,11,6
261,ツムラ六君子湯,6900,110,1.965,-1.091,25,75,1,8,8,14,17,19,33
262,大腸腺腫とは,6600,110,1.96,-5.508,33,67,0,5,7,15,26,24,23
263,肛門痛,6700,110,1.946,-4.53,26,74,1,6,15,26,23,18,11
264,酸素ボンベ 計算,6500,110,1.938,-3.766,23,77,4,35,20,22,12,4,3
265,左脇腹 違和感 張り,6600,110,1.932,-2.291,44,56,2,5,15,27,28,14,9
266,東京アカデミー 看護師国家試験,6800,110,1.922,-3.585,13,87,3,47,8,16,19,5,2
267,血液ガス分析,6500,110,1.909,-3.982,29,71,1,24,17,23,20,10,5
268,オキシマイザーとは,6500,110,1.897,-8.505,25,75,1,23,21,26,18,8,3
269,pao2,7500,110,1.813,-3.031,33,67,6,42,19,16,9,5,3
270,ツムラ大建中湯エキス顆粒,8000,110,1.804,-4.022,26,74,1,12,8,14,19,17,29
271,mcv 低い 原因,8100,110,1.738,-4.688,20,80,1,8,15,31,25,9,11
272,喀血とは,8000,110,1.735,-1.749,36,64,4,18,10,16,22,16,14
273,息切れとはどんな症状,9100,110,1.703,-4.913,37,63,2,4,5,13,21,23,32
274,パーキンソニズム,8500,110,1.698,-14.983,35,65,2,25,15,19,20,11,8
275,fio2,8800,110,1.694,-12.584,34,66,1,39,24,19,11,4,2
276,内痔核 出血,8400,110,1.667,-16.396,32,68,1,8,14,24,24,17,12
277,脊椎圧迫骨折,9700,110,1.662,-1.387,37,63,1,8,5,9,17,25,35
278,ブスコパン10mg錠 腹痛,9400,110,1.656,-7.47,32,68,0,3,6,16,25,26,24
279,st低下 心電図,9100,110,1.635,-6.179,25,75,0,25,19,22,18,10,6
280,横になると動悸,8500,110,1.619,-1.526,19,81,2,8,14,26,27,15,8
281,息苦しい 対処方法,9700,110,1.607,-7.978,31,69,6,8,13,20,23,15,15
282,ヘモグロビンとは,9100,110,1.607,-1.573,34,66,9,18,10,14,18,13,18
283,脊髄腫瘍,9200,110,1.604,-1.681,35,65,1,7,10,17,24,21,20
284,げっぷ おなら 多い 原因,9200,110,1.601,-1.387,35,65,3,7,14,20,23,18,15
285,過敏症 とは,9100,110,1.6,-5.699,34,66,4,10,13,21,23,16,13
286,腕神経叢,9800,110,1.595,-1.712,49,51,6,36,18,17,13,6,4
287,膵臓嚢胞,9900,110,1.58,-9.567,31,69,0,1,2,7,21,32,37
288,心臓エコー検査 わかること,9900,110,1.579,-7.73,34,66,0,2,5,13,22,26,32
289,大球性貧血,9000,110,1.579,-4.998,40,60,1,17,15,22,21,15,9
290,逆流性食道炎 何科,9200,110,1.56,-9.145,35,65,2,15,25,28,19,6,5
291,uti,9800,110,1.546,-11.2,31,69,1,17,15,26,23,12,6
292,副甲状腺ホルモン,10200,110,1.54,-7.633,30,70,8,32,7,12,15,13,13
293,意識消失,9800,110,1.527,-3.255,28,72,1,7,11,22,29,20,10
294,結石 痛み,10100,110,1.505,-1.291,46,54,1,4,12,25,31,17,10
295,レスパイトケアとは,10000,110,1.505,-1.817,25,75,3,17,9,17,24,19,11
296,子宮体癌 出血 特徴,9400,110,1.499,-2.134,8,92,0,3,5,33,43,8,8
297,ロケルマ,10500,110,1.494,-16.452,43,57,1,19,21,21,18,11,9
298,フェリチン 基準値,10100,110,1.494,-1.77,21,79,2,10,15,32,22,9,10
299,上前腸骨棘,9900,110,1.492,-4.768,44,56,9,24,20,21,15,7,4
300,目がかすむ原因,10500,110,1.486,-13.489,34,66,2,8,15,20,21,18,16
301,胃痛 空腹時,3400,100,2.52,-1.108,19,81,1,9,22,25,25,12,6
302,へその上 押すと痛い,3500,100,2.449,-1.214,31,69,2,14,23,29,18,8,6
303,胃が硬い感じがする,4000,100,2.369,-1.019,14,86,1,6,15,25,30,17,6
304,ガスター10 副作用,4700,100,2.223,-4.245,36,64,1,5,7,12,21,28,26
305,ビオー呼吸,4500,100,2.198,-4.78,29,71,5,39,19,18,13,4,2
306,体重減少 病院 目安,4400,100,2.197,-11.996,27,73,2,13,21,23,20,12,9
307,癌性腹膜炎,4700,100,2.175,-7.789,30,70,1,13,12,19,23,19,13
308,急性腹症,5000,100,2.165,-1.587,38,62,2,22,22,24,15,9,6
309,正中神経麻痺,5000,100,2.149,-2.068,42,58,2,24,18,20,17,12,7
310,ウィリス動脈輪,5200,100,2.113,-1.247,40,60,10,55,14,10,7,2,2
311,便の色 黒っぽい,5200,100,2.107,-1.299,29,71,1,8,13,14,19,18,27
312,チャイルドピュー分類,5200,100,2.067,-1.965,44,56,1,39,25,20,9,4,2
313,便秘 胃痛 関係,4800,100,2.064,-1.006,12,88,2,11,27,33,18,7,2
314,痙攣性便秘,5600,100,2.052,-14.26,20,80,3,19,13,19,19,14,13
315,血便 色,5500,100,2.038,-1.378,44,56,3,16,18,20,20,13,10
316,胃が悪い時の食事,5800,100,1.953,-1.83,20,80,1,6,9,19,29,20,16
317,肝臓がん 血液検査 数値,6600,100,1.877,-1.114,32,68,0,3,9,20,27,21,20
318,後腹膜腫瘍,6900,100,1.834,-4.508,33,67,1,8,11,19,26,19,16
319,不全麻痺とは,6400,100,1.833,-1.617,31,69,2,23,17,22,20,11,5
320,心嚢液,6700,100,1.831,-1.233,36,64,2,22,19,19,18,11,9
321,黄疸 原因,6400,100,1.812,-7.876,34,66,3,22,23,23,17,7,5
322,apc 医療,6800,100,1.807,-17.715,23,77,0,28,19,23,17,9,4
323,レニベース,7200,100,1.769,-10.174,33,67,1,21,17,21,17,11,12
324,cvカテーテル,7400,100,1.762,-8.098,23,77,2,28,16,22,19,9,4
325,ゲップ 胃液上がる,7200,100,1.74,-2.937,26,74,5,14,17,17,20,15,12
326,リパーゼ 高い 原因,7500,100,1.702,-8.409,33,67,1,4,6,13,26,24,26
327,plt 血液検査 高い,7800,100,1.69,-1.373,16,84,0,8,11,21,26,17,17
328,両足のしびれ,7900,100,1.684,-1.136,33,67,1,3,9,17,24,20,26
329,掻痒感,7400,100,1.679,-11.003,33,67,4,16,17,20,20,13,10
330,スピオルトレスピマット60吸入,7600,100,1.673,-8.913,41,59,0,12,13,17,19,17,22
331,ピトレシン,7700,100,1.668,-6.029,39,61,1,37,27,19,10,4,2
332,肺水腫とは,8400,100,1.656,-3.487,35,65,2,15,7,13,23,21,19
333,リコモジュリン,8200,100,1.652,-6.008,41,59,0,31,26,21,12,7,3
334,ラベプラゾールna塩錠10mg,8600,100,1.649,-5.901,31,69,0,3,4,14,25,27,27
335,喉頭蓋,8400,100,1.635,-7.685,38,62,10,24,17,17,15,10,7
336,胸痛 原因,8100,100,1.629,-1.428,31,69,2,13,12,20,22,16,15
337,左腹の痛み,8200,100,1.613,-3.044,33,67,4,9,17,28,26,10,6
338,お腹が気持ち悪い,8800,100,1.607,-3.822,19,81,18,30,20,17,9,4,2
339,卵巣がん 初期症状,8500,100,1.588,-2.434,8,92,1,9,16,29,26,11,8
340,卵巣 痛み,8400,100,1.574,-3.415,5,95,1,10,28,38,15,4,4
341,神経調節性失神,8600,100,1.54,-13.774,37,63,2,16,19,22,21,12,8
342,社会資源とは,8600,100,1.524,-8.48,21,79,5,22,12,20,22,13,6
343,チアトン,9300,100,1.521,-8.797,34,66,1,8,16,24,24,15,12
344,肝機能低下 症状,8700,100,1.513,-7.965,28,72,1,14,17,25,24,12,7
345,胃薬 レバミピド,8800,100,1.511,-1.031,22,78,1,8,17,26,23,14,11
346,食後血糖値,9400,100,1.489,-7.349,38,62,1,6,9,16,25,23,20
347,血液検査 wbcとは,9800,100,1.481,-4.65,29,71,1,3,12,20,27,21,16
348,オランザピン 副作用,9200,100,1.476,-2.819,27,73,2,13,11,20,26,17,11
349,セルニルトン,9200,100,1.475,-6.049,68,32,1,8,14,20,21,17,19
350,ファウラー位,4100,90,2.313,-1.903,34,66,14,39,15,13,11,5,3
351,朝起きると胃が痛い,4500,90,2.137,-1.701,19,81,1,9,16,28,26,13,7
352,更年期 胃腸の不調,4500,90,2.065,-1.573,8,92,1,0,1,38,56,2,2
353,ゲップ 原因,5100,90,2.061,-6.921,29,71,2,6,9,15,23,22,23
354,胃が痛い 市販薬,4800,90,2.048,-6.63,27,73,1,8,16,24,27,16,8
355,胃が張る感じ,4800,90,2.046,-9.241,26,74,2,11,17,23,26,13,8
356,turbt,4900,90,2.041,-1.039,31,69,0,35,17,18,13,9,8
357,ガストローム顆粒66.7,4900,90,2.034,-2.593,35,65,1,4,9,16,22,20,28
358,術後合併症,5100,90,2.01,-17.543,16,84,3,49,10,14,11,6,7
359,ゴナドトロピン,5300,90,1.957,-4.616,30,70,5,43,17,15,11,6,3
360,ジギタリス製剤,5600,90,1.941,-13.632,27,73,2,27,12,17,17,13,12
361,イレウス 原因,5200,90,1.937,-6.012,23,77,1,15,13,21,23,17,10
362,胃が痛い 吐き気,5700,90,1.928,-1.427,18,82,7,26,23,21,14,6,3
